Introduction	O	O
of	O	O
a	O	O
methyl	B-IUPAC	O
group	B-MODIFIER	O
in	O	O
the	O	O
2	O	O
-	O	O
position	O	O
of	O	O
the	O	O
5	B-IUPAC	B-IUPAC
-	I-IUPAC	I-IUPAC
methyl	I-IUPAC	I-IUPAC
-	O	O
substituted	B-MODIFIER	O
indole	O	O
resulted	O	O
in	O	O
further	O	O
increase	O	O
of	O	O
selectivity	O	O
for	O	O
the	O	O
5	O	O
-	O	O
HT2	O	O
receptor	O	O
.	O	O
Due	O	O
to	O	O
the	O	O
existence	O	O
of	O	O
several	O	O
chiral	O	O
centers	O	O
on	O	O
this	O	O
molecule	O	O
,	O	O
upon	O	O
the	O	O
formation	O	O
of	O	O
[	O	O
99mTc	O	O
]	O	O
TRODAT	O	O
-	O	O
1	O	O
complex	O	O
(	O	O
2	O	O
)	O	O
several	O	O
diastereomers	O	O
could	O	O
be	O	O
created	O	O
.	O	O
Thus	O	O
,	O	O
simple	O	O
replacement	O	O
of	O	O
the	O	O
terminal	O	O
propenyl	B-IUPAC	O
system	B-MODIFIER	O
[	O	O
C	O	O
(	O	O
16,17,18	O	O
)	O	O
]	O	O
in	O	O
7	O	O
with	O	O
a	O	O
cyclopropyl	B-IUPAC	B-IUPAC
group	B-MODIFIER	B-MODIFIER
produced	O	O
acid	O	O
8	O	O
[	O	O
(	B-IUPAC	B-IUPAC
2E	I-IUPAC	I-IUPAC
,	I-IUPAC	I-IUPAC
4E	I-IUPAC	I-IUPAC
,	I-IUPAC	I-IUPAC
6E	I-IUPAC	I-IUPAC
)	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
7	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
methyl	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
7	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
(	I-IUPAC	I-IUPAC
4,4	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
dimethylthiochroman	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
6	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
yl	I-IUPAC	I-IUPAC
)	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
2,3	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
methylene	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
4,6	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
heptadienoic	I-IUPAC	I-IUPAC
acid	I-IUPAC	I-IUPAC
with	O	O
markedly	O	O
reduced	O	O
activity	O	O
.	O	O
Thus	O	O
(	O	O
S	O	O
)	O	O
-	O	O
6b	O	O
has	O	O
a	O	O
lipophilicity	O	O
that	O	O
will	O	O
allow	O	O
a	O	O
relatively	O	O
higher	O	O
uptake	O	O
into	O	O
the	O	O
brain	O	O
compared	O	O
to	O	O
sulpiride	O	O
.	O	O
The	O	O
nigrostriatal	O	O
toxin	O	O
1	B-IUPAC	B-IUPAC
-	I-IUPAC	I-IUPAC
methyl	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
4	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
phenyl	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
1,2,3,6	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
tetrahydropyridine	I-IUPAC	I-IUPAC
(	O	O
MPTP	O	O
)	O	O
is	O	O
biotransformed	O	O
by	O	O
brain	O	O
monoamine	O	O
oxidase	O	O
(	O	O
MAO	O	O
)	O	O
to	O	O
an	O	O
unstable	O	O
dihydropyridinium	O	O
intermediate	O	O
that	O	O
reacts	O	O
with	O	O
cyanide	O	O
ion	O	O
to	O	O
form	O	O
an	O	O
alpha	B-IUPAC	B-IUPAC
-	I-IUPAC	I-IUPAC
cyano	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
tetrahydropyridine	I-IUPAC	I-IUPAC
adduct	O	O
and	O	O
,	O	O
in	O	O
the	O	O
absence	O	O
of	O	O
cyanide	O	O
ion	O	O
,	O	O
undergoes	O	O
disproportionation	O	O
to	O	O
the	O	O
1	B-IUPAC	B-IUPAC
-	I-IUPAC	I-IUPAC
methyl	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
4	I-IUPAC	I-IUPAC
-	I-IUPAC	I-IUPAC
phenylpyridinium	I-IUPAC	I-IUPAC
species	O	O
MPP+	O	O
and	O	O
MPTP	O	O
.	O	O
All	O	O
N	O	O
(	O	O
4	O	O
)	O	O
-	O	O
hydroxy	O	O
-	O	O
dCMP	O	O
(	O	O
6a	O	O
,	O	O
b	O	O
,	O	O
d	O	O
-	O	O
h	O	O
)	O	O
and	O	O
dUMP	O	O
analogues	O	O
studied	O	O
were	O	O
competitive	O	O
vs	O	O
dUMP	O	O
inhibitors	O	O
of	O	O
the	O	O
